int_id,ra,dec,z,psfMag_g,fiberID,plate,mjd,bestobjid
281,121.39451728968099,54.52468061960651,0.40506590000000003,16.390520000000002,297,7281,57007,1237663787956502579
282,196.956821632296,35.0278677255538,0.30045900000000003,16.97731,63,10251,58173,1237665129085075513
283,200.855182760906,34.516477221891996,0.44261320000000004,16.85916,65,2023,53851,1237665129086517293
284,162.932897148729,33.9907468666646,0.1671385,16.8643,560,10268,58487,1237665129609756690
285,141.477979444969,19.901422941201197,0.19209489999999999,15.6198,212,9561,57809,1237667292116615199
286,133.663514688836,17.6895568856722,0.06521195,16.11911,151,2281,53711,1237667292650143749
287,142.643467622473,20.737951241820102,0.2422345,16.904870000000003,36,9561,57809,1237667292654075927
288,147.247812867355,43.5886005776608,0.2262564,16.82064,457,8286,57062,1237658205036871793
289,70.63949917537609,24.200917903369998,0.0004606231,16.50431,275,1257,52944,1237660557062570087
290,146.938108500628,7.42237930879385,0.08555584,16.88852,47,1234,52724,1237660583368196151
291,232.825339669892,7.4577557745435,0.03369032,16.02225,373,1820,54208,1237662238560878668
292,153.263247491262,35.8565968628565,0.07885244,15.40775,614,1951,53389,1237664668971434032
293,121.219738060765,21.347272265078303,0.1244479,16.59025,124,1584,52943,1237664669494542388
294,226.7963424404,23.9481789563,0.44346260000000004,16.94665,108,2152,53874,1237665442602221603
295,164.505084704284,20.4871845629535,0.06627592,16.6594,308,2488,54149,1237667781752651797
296,15.8041380604424,2.35275955345185,0.3937449,16.99887,906,9393,58100,1237678597023662093
297,212.515272433196,0.213964268545072,0.1358213,-9999.0,516,302,51688,1237648704589856863
298,141.542708127202,59.479831336055696,0.3429511,15.518139999999999,91,485,51909,1237651538166415451
299,134.135026433055,50.687241508886395,0.2344913,16.42035,492,551,51993,1237654382513553449
300,220.29811321918203,-2.2097652645425,0.08226972,16.65174,23,919,52409,1237655498671718476
301,198.27367461514,-2.17756655497177,0.08373255,16.98876,485,340,51990,1237655499198955616
302,244.205935353466,41.904551712543295,0.441226,16.98264,701,8526,57898,1237659326027923505
303,228.269039435555,30.701189294394002,0.34837470000000004,16.87122,229,1649,53149,1237662224083320873
304,151.010865343611,28.926487268583603,0.32880240000000005,15.86561,658,10449,58137,1237665126920486976
305,20.4992478367444,-1.04009913936062,0.05435418,16.43903,10,398,51789,1237666338116927553
306,186.226930399321,21.379556211116398,0.4338264,15.876079999999998,204,2646,54479,1237667781224628269
307,195.083227970876,61.655043616653,0.05218846,16.803910000000002,59,782,52320,1237655369290154042
308,127.68904549982099,34.0922377219278,0.06234368,16.951420000000002,52,1197,52668,1237657628436136041
309,143.760544899869,43.519630709001504,0.4574838,15.7502,764,4638,55956,1237657628442951821
310,148.915947186087,45.5380546809104,0.2593244,16.92546,383,7284,56683,1237657628444786773
311,183.955967502197,54.7066630743748,0.1500787,16.86134,390,8214,57867,1237658801500848188
312,218.019174442896,39.744176504682606,0.3483029,16.53744,473,10749,58485,1237661872414392455
313,182.6347821727,45.0057303149036,0.3613026,16.85025,243,7427,56751,1237661872939728918
314,24.539754582048698,-1.1556274695733502,0.2729934,16.75846,82,4230,55483,1237663782597492781
315,160.299887077086,28.468083727266897,0.21093,16.39174,364,10471,58132,1237667255080124453
316,176.29277616792,30.7881221355957,0.05897063,16.49436,453,2222,53799,1237667255623155793
317,236.884042836755,10.414226867598199,0.13825510000000002,15.965520000000001,249,2520,54584,1237668331498438759
318,235.919755463229,11.467046178220198,0.42150709999999997,16.67449,157,2516,54241,1237668332571656247
319,71.1199052825292,12.353259111375198,0.08929483,16.596339999999998,451,2669,54086,1237673453240516809
320,352.38406216401705,4.634580482792,0.2221254,16.9425,262,11288,58401,1237679005023469614
321,142.29080352882798,46.7400159741819,0.2399645,16.323179999999997,615,833,52314,1237657401883951120
322,184.31701007110198,8.161687140741089,0.34195180000000003,16.9848,633,1624,53386,1237658424638111781
323,253.96404229330201,21.7671581845499,0.1534853,16.36361,144,1415,52885,1237661464921637034
324,213.28811428257902,9.33645164720564,0.45961579999999996,16.697589999999998,504,1810,53794,1237662264316067873
325,182.810679031646,36.960994912584894,0.171159,16.81626,620,8865,57426,1237664818213683234
326,236.931416341394,20.8712961021888,0.264278,15.559660000000001,484,2168,53886,1237665535466537048
327,230.401279650507,24.4816170002805,0.165382,16.986629999999998,243,2160,53885,1237665536537198687
328,212.1159329131,24.156850002031803,0.1303311,16.85882,91,2124,53770,1237665548351701040
329,188.42366613869203,31.0174460469342,0.2909834,16.92953,654,11396,58490,1237667255627743243
330,157.892899788982,28.7836418687312,0.06026049,16.84554,123,2354,53799,1237667287812800519
331,255.629421165098,32.7887968007749,0.16324249999999998,15.93361,114,973,52426,1237655473435574299
332,239.10792059055,9.05519027063632,0.04249031,16.7925,634,1726,53137,1237662534360957178
333,243.555039437141,26.0711992904378,0.1309488,16.280820000000002,35,1393,52824,1237662618653098133
334,169.352405216653,15.633477759064698,0.3697132,16.61567,562,1752,53379,1237664133169152030
335,171.679237985618,15.765236795827802,0.4343848,16.8727,324,1754,53385,1237664133170135057
336,190.544191799312,33.2840584059166,0.0435284,15.97251,51,2020,53431,1237665331465027589
337,169.786161815962,21.321649434443103,0.1756461,14.38875,516,6430,56299,1237667734502637678
338,195.48051707093003,21.7318099639215,0.20008,16.70025,265,2650,54505,1237667734513123354
339,257.55591617677004,33.734052289426195,0.20759650000000002,16.22801,4,974,52427,1237655130381615382
340,173.349907428126,55.0710839614037,0.009057861,16.378770000000003,463,1014,52707,1237658802571968533
341,203.253481760528,45.3025082635509,0.31941440000000004,16.9778,164,7407,56772,1237661360761471049
342,216.23139405067502,42.2354527553049,0.31585359999999996,16.66672,260,1395,52825,1237661360765796468
343,220.760809951753,40.7569797179256,0.24606420000000004,16.8438,202,8497,58161,1237661360767434781
344,113.288337360189,45.91840974622,0.1415131,16.07273,508,1866,53314,1237663917873234053
345,157.746222867188,31.048826575313896,0.178397,16.90125,61,10460,58161,1237665127460110343
346,184.080868047373,21.564180219012698,0.49303109999999994,16.9937,133,2645,54477,1237667733971599436
347,193.40714854357898,21.438405544424104,0.12665710000000002,16.13624,215,2649,54212,1237667733975400572
348,11.5332363677354,9.12248487284901,0.23772240000000003,16.62128,120,11047,58424,1237678905713754177
349,117.755931906169,29.238650410292,0.1207952,16.88922,293,1060,52636,1237657242959872190
350,131.15703446620898,5.26078485309477,0.3761259,16.92717,28,1187,52708,1237658491721220237
351,165.524707310206,8.74327687047559,0.294261,16.41374,89,1220,52723,1237658491736227862
352,147.470479431963,39.034431438912,0.365164,16.47719,580,8823,57446,1237660765382049800
353,147.701599803265,39.4473547157288,0.20553470000000001,16.43262,332,1277,52765,1237660765919051807
354,194.331489454245,44.49317212003861,0.3004193,16.32795,679,8376,57786,1237661850935427117
355,169.276656368488,44.2259169646614,0.14373010000000003,15.90426,378,1365,53062,1237661851464499273
356,218.718588218424,48.6618679562701,0.03664102,16.09112,300,1047,52733,1237662303509676064
